TABLE:  Shear Wall Pier Summary - ACI 318-08;;;;;;;;;;;;;;;;;;;;;;;;;;
Story;Pier Label;Station;Design Type;Edge Rebar;End Rebar;Rebar Spacing;Required Reinf;Current Reinf;Pier Leg;Leg X1;Leg Y1;Leg X2;Leg Y2;Shear Rebar;Compressive Stress Left;Compressive Stress Right;Compressive Stress Limit Left;Compressive Stress Limit Right;C Depth Left;C Limit Left;C Depth Right;C Limit Right;Boundary Zone Left;Boundary Zone Right;Warnings;Errors
;;;;;;m;%;%;;m;m;m;m;m²/m;tonf/m²;tonf/m²;tonf/m²;tonf/m²;m;m;m;m;m;m;;
Story12;1B;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;41.42;2.92;41.42;10.66;0.0003;1.27;1.27;42;42;;;;;;;No Message;No Message
Story12;1B;Bottom;Uniform;#2;#2;0.15;0.12;0.37;Bottom Leg 1;41.42;2.92;41.42;10.66;0.0003;4.91;4.45;42;42;;;;;;;No Message;No Message
Story11;1B;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;41.42;2.92;41.42;10.66;0.0003;6.67;6.21;42;42;;;;;;;No Message;No Message
Story11;1B;Bottom;Uniform;#2;#2;0.15;0.12;0.37;Bottom Leg 1;41.42;2.92;41.42;10.66;0.0003;11.15;10.29;42;42;;;;;;;No Message;No Message
Story10;1B;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;41.42;2.92;41.42;10.66;0.0003;13.06;12.2;42;42;;;;;;;No Message;No Message
Story10;1B;Bottom;Uniform;#2;#2;0.15;0.18;0.37;Bottom Leg 1;41.42;2.92;41.42;10.66;0.0003;18.45;17.21;42;42;;;;;;;No Message;No Message
Story9;1B;Top;Uniform;#2;#2;0.15;0.2;0.37;Top Leg 1;41.42;2.92;41.42;10.66;0.0003;20.52;19.28;42;42;;;;;;;No Message;No Message
Story9;1B;Bottom;Uniform;#2;#2;0.15;0.31;0.37;Bottom Leg 1;41.42;2.92;41.42;10.66;0.0003;39.04;37.46;42;42;0.82002;1.84286;0.82002;1.84286;0.41001;0.41001;No Message;No Message
Story8;1B;Top;Uniform;#2;#2;0.15;0.32;0.37;Top Leg 1;41.42;2.92;41.42;10.66;0.0003;40.07;38.48;42;42;0.87412;1.84286;0.87412;1.84286;0.43706;0.43706;No Message;No Message
Story8;1B;Bottom;Uniform;#2;#2;0.15;0.38;0.37;Bottom Leg 1;41.42;2.92;41.42;10.66;0.0003;35.62;33.7;42;42;1.4533;1.84286;1.4533;1.84286;0.72665;0.72665;No Message;No Message
Story7;1B;Top;Uniform;8d;8d;0.15;0.35;0.46;Top Leg 1;41.42;2.92;41.42;10.66;0.00038;43.83;42.29;56;56;0.67167;1.84286;0.67167;1.84286;0.33583;0.33583;No Message;No Message
Story7;1B;Bottom;Uniform;8d;8d;0.15;0.41;0.46;Bottom Leg 1;41.42;2.92;41.42;10.66;0.00038;57.36;55.51;56;56;0.74118;1.84286;0.74118;1.84286;0.37059;0.37059;No Message;No Message
Story6;1B;Top;Uniform;8d;8d;0.15;0.41;0.46;Top Leg 1;41.42;2.92;41.42;10.66;0.00038;58.54;56.69;56;56;0.78876;1.84286;0.78876;1.84286;0.39438;0.39438;No Message;No Message
Story6;1B;Bottom;Uniform;8d;8d;0.15;0.59;0.46;Bottom Leg 1;41.42;2.92;41.42;10.66;0.00038;46.27;44.18;56;56;1.34881;1.84286;1.34881;1.84286;0.67441;0.67441;No Message;No Message
Story5;1B;Top;Uniform;8d;8d;0.15;0.59;0.46;Top Leg 1;41.42;2.92;41.42;10.66;0.00038;48.23;46.14;56;56;1.42835;1.84286;1.42835;1.84286;0.71418;0.71418;No Message;No Message
Story5;1B;Bottom;Uniform;8d;8d;0.15;0.69;0.46;Bottom Leg 1;41.42;2.92;41.42;10.66;0.00038;54.74;52.46;56;56;1.55375;1.84286;1.55375;1.84286;0.77975;0.77975;No Message;No Message
Story4;1B;Top;Uniform;8d;8d;0.15;0.69;0.46;Top Leg 1;41.42;2.92;41.42;10.66;0.00038;56.37;54.09;70;70;1.38487;1.84286;1.38487;1.84286;0.69243;0.69243;No Message;No Message
Story4;1B;Bottom;Uniform;8d;8d;0.15;0.76;0.46;Bottom Leg 1;41.42;2.92;41.42;10.66;0.00038;62.89;60.41;70;70;1.49172;1.84286;1.49172;1.84286;0.74586;0.74586;No Message;No Message
Story3;1B;Top;Uniform;8d;8d;0.15;0.76;0.46;Top Leg 1;41.42;2.92;41.42;10.66;0.00038;64.45;61.97;70;70;1.54584;1.84286;1.54584;1.84286;0.77292;0.77292;No Message;No Message
Story3;1B;Bottom;Uniform;8d;8d;0.15;0.95;0.46;Bottom Leg 1;41.42;2.92;41.42;10.66;0.00038;70.96;68.27;70;70;1.64565;1.84286;1.64565;1.84286;0.87165;0.87165;No Message;No Message
Story2;1B;Top;Uniform;8d;8d;0.15;0.95;0.46;Top Leg 1;41.42;2.92;41.42;10.66;0.00038;72.37;69.68;70;70;1.6944;1.84286;1.6944;1.84286;0.9204;0.9204;No Message;No Message
Story2;1B;Bottom;Uniform;8d;8d;0.15;1.09;0.46;Bottom Leg 1;41.42;2.92;41.42;10.66;0.00038;78.56;75.69;70;70;1.78124;1.84286;1.78124;1.84286;1.00724;1.00724;No Message;No Message
Story1;1B;Top;Uniform;8d;8d;0.15;1.09;0.46;Top Leg 1;41.42;2.92;41.42;10.66;0.00038;79.69;76.81;70;70;1.82021;1.84286;1.82021;1.84286;1.04621;1.04621;No Message;No Message
Story1;1B;Bottom;Uniform;8d;8d;0.15;1.19;0.46;Bottom Leg 1;41.42;2.92;41.42;10.66;0.00038;84.85;81.88;70;70;1.8837;1.84286;1.8837;1.84286;1.1097;1.1097;No Message;No Message
Story12;I2;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;32.15;8.205;35.775;8.205;0.0003;7.03;7.12;42;42;;;;;;;No Message;No Message
Story12;I2;Bottom;Uniform;#2;#2;0.15;0.12;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;7.58;8.6;42;42;;;;;;;No Message;No Message
Story11;I2;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;32.15;8.205;35.775;8.205;0.0003;7.86;8.76;42;42;;;;;;;No Message;No Message
Story11;I2;Bottom;Uniform;#2;#2;0.15;0.12;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;11.96;12.61;42;42;;;;;;;No Message;No Message
Story10;I2;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;32.15;8.205;35.775;8.205;0.0003;11.52;12.74;42;42;;;;;;;No Message;No Message
Story10;I2;Bottom;Uniform;#2;#2;0.15;0.2;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;17.23;17.88;42;42;;;;;;;No Message;No Message
Story9;I2;Top;Uniform;#2;#2;0.15;0.21;0.37;Top Leg 1;32.15;8.205;35.775;8.205;0.0003;16.05;17.79;42;42;;;;;;;No Message;No Message
Story9;I2;Bottom;Uniform;#2;#2;0.15;0.34;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;23.36;24;42;42;;;;;;;No Message;No Message
Story8;I2;Top;Uniform;#2;#2;0.15;0.33;0.37;Top Leg 1;32.15;8.205;35.775;8.205;0.0003;24.64;23.97;42;42;;;;;;;No Message;No Message
Story8;I2;Bottom;Uniform;#2;#2;0.15;0.41;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;34.31;34.88;42;42;0.75829;0.62593;0.75829;0.62593;0.39579;0.39579;No Message;No Message
Story7;I2;Top;Uniform;#2;#2;0.15;0.4;0.37;Top Leg 1;32.15;8.205;35.775;8.205;0.0003;33.63;33.04;56;56;;;;;;;No Message;No Message
Story7;I2;Bottom;Uniform;#2;#2;0.15;0.61;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;43.57;44.1;56;56;0.70673;0.66641;0.70673;0.66641;0.35337;0.35337;No Message;No Message
Story6;I2;Top;Uniform;#2;#2;0.15;0.6;0.37;Top Leg 1;32.15;8.205;35.775;8.205;0.0003;42.32;41.86;56;56;0.76305;0.71614;;;0.40055;;No Message;No Message
Story6;I2;Bottom;Uniform;#2;#2;0.15;0.74;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;53.98;54.24;56;56;0.84584;0.71614;0.84584;0.71614;0.48334;0.48334;No Message;No Message
Story5;I2;Top;Uniform;#2;#2;0.15;0.73;0.37;Top Leg 1;32.15;8.205;35.775;8.205;0.0003;52.35;52.03;56;56;0.9054;0.79928;0.9054;0.79928;0.5429;0.5429;No Message;No Message
Story5;I2;Bottom;Uniform;#2;#2;0.15;0.94;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;65.49;65.58;56;56;0.99777;0.79928;0.99777;0.79928;0.63527;0.63527;No Message;No Message
Story4;I2;Top;Uniform;8d;8d;0.15;0.73;0.46;Top Leg 1;32.15;8.205;35.775;8.205;0.00038;50.99;51.41;70;70;;;;;;;No Message;No Message
