TABLE:  Pier Forces;;;;;;;;;
Story;Pier;Load Case/Combo;Location;P;V2;V3;T;M2;M3
;;;;tonf;tonf;tonf;tonf-m;tonf-m;tonf-m
Story12;1B;SU01;Top;-7.948305881;-1.048810174;-0.006731574;-0.000509213;0.004899754;-0.000424109
Story12;1B;SU01;Bottom;-17.73053133;-1.048778817;-0.026168453;-0.00053621;-0.015499765;-2.498505954
Story12;1B;SU02;Top;-9.655913488;-1.330140928;-0.008708877;-0.000543962;0.006558726;-0.000539526
Story12;1B;SU02;Bottom;-19.03134064;-1.330145965;-0.032015974;-0.000578585;-0.019182469;-3.168749321
Story12;1B;SU03;Top;-6.833980259;-0.90000822;-0.006057231;-0.000436888;0.004371372;-0.000363907
Story12;1B;SU03;Bottom;-15.2964599;-0.899980031;-0.022951663;-0.000460413;-0.013580176;-2.144023758
Story12;1B;SU04;Top;-8.592236657;-1.168576113;-0.007640438;-0.000503701;0.005694232;-0.00047357
Story12;1B;SU04;Bottom;-17.6052726;-1.168569028;-0.028482393;-0.000534063;-0.017005641;-2.783846309
Story12;1B;SU05 Max;Top;-5.376382108;4.838565388;0.030503003;0.000653707;0.031322167;0.002052537
Story12;1B;SU05 Max;Bottom;-2.784268657;4.841849044;-0.008934501;0.002099238;-0.009601573;11.53725738
Story12;1B;SU05 Min;Top;-11.79487455;-7.175075069;-0.04560431;-0.001660845;-0.020040943;-0.002999436
Story12;1B;SU05 Min;Bottom;-32.36448803;-7.178345377;-0.047704309;-0.003166861;-0.024225545;-17.10342048
Story12;1B;SU06 Max;Top;-7.572198913;18.26120858;0.00448207;0.001034058;0.01375068;0.007698178
Story12;1B;SU06 Max;Bottom;-12.90391447;18.27193677;-0.02205306;0.002550033;-0.014402634;43.53776462
Story12;1B;SU06 Min;Top;-9.599057747;-20.59771826;-0.019583376;-0.002041196;-0.002469456;-0.008645077
Story12;1B;SU06 Min;Bottom;-22.24484222;-20.6084331;-0.03458575;-0.003617656;-0.019424484;-49.10392772
Story12;1B;SU07;Top;-5.109625209;-0.674235112;-0.004327441;-0.000327351;0.003149842;-0.000272642
Story12;1B;SU07;Bottom;-11.39819871;-0.674214954;-0.016822577;-0.000344706;-0.009964135;-1.606182399
Story12;1B;SU08 Max;Top;-1.900378987;5.332585117;0.033726216;0.000829925;0.028831397;0.002253345
Story12;1B;SU08 Max;Bottom;3.391910978;5.335882257;0.002562327;0.002288343;-0.002652148;12.71415653
Story12;1B;SU08 Min;Top;-8.318871431;-6.68105534;-0.042381097;-0.001484627;-0.022531713;-0.002798628
Story12;1B;SU08 Min;Bottom;-26.1883084;-6.684312165;-0.036207481;-0.002977756;-0.017276121;-15.92652133
Story12;1B;SU09 Max;Top;-4.096195792;18.75522831;0.007705282;0.001210276;0.01125991;0.007898986
Story12;1B;SU09 Max;Bottom;-6.727734837;18.76596998;-0.010556231;0.002739139;-0.00745321;44.71466377
Story12;1B;SU09 Min;Top;-6.123054626;-20.10369853;-0.016360164;-0.001864978;-0.004960226;-0.008444269
Story12;1B;SU09 Min;Bottom;-16.06866258;-20.11439989;-0.023088922;-0.003428551;-0.01247506;-47.92702857
Story12;I2;SU01;Top;-17.70583524;3.242435467;0.012440539;-0.026996268;-0.022255668;0.215205363
Story12;I2;SU01;Bottom;-17.43724174;3.245989037;0.028255735;-0.004560157;0.023147282;1.153372026
Story12;I2;SU02;Top;-22.22069655;4.362325926;0.008543237;-0.026171937;-0.01806073;0.021677478
Story12;I2;SU02;Bottom;-20.30911556;4.369896401;0.027477003;0.000486079;0.021464652;1.557323029
Story12;I2;SU03;Top;-16.07232463;2.966491778;0.010427894;-0.023468253;-0.018990002;-0.014297752
Story12;I2;SU03;Bottom;-15.69473803;2.968976613;0.024529197;-0.003505928;0.020007431;0.968174984
Story12;I2;SU04;Top;-19.6840843;3.790609797;0.009310679;-0.02507334;-0.018431452;0.059429448
Story12;I2;SU04;Bottom;-18.38574338;3.796417811;0.026291655;-0.001114765;0.020875164;1.341659521
Story12;I2;SU05 Max;Top;-16.22250522;7.65328427;0.03210551;-0.01391474;0.003885513;5.563244332
Story12;I2;SU05 Max;Bottom;-9.015065161;7.75835526;0.047329941;0.006422717;0.029991889;4.165092231
Story12;I2;SU05 Min;Top;-22.58572936;-0.189103037;-0.013337012;-0.036026567;-0.040802345;-5.320160754
Story12;I2;SU05 Min;Bottom;-27.28858984;-0.282207323;0.005059621;-0.008903984;0.011654125;-1.469004683
Story12;I2;SU06 Max;Top;-15.16647231;10.85286529;0.08200307;0.004760131;0.049657854;4.436904638
Story12;I2;SU06 Max;Bottom;-7.197595177;11.01249639;0.082430655;0.010238091;0.042071972;5.02528952
Story12;I2;SU06 Min;Top;-23.64176227;-3.388684057;-0.063234572;-0.054701438;-0.086574687;-4.19382106
Story12;I2;SU06 Min;Bottom;-29.10605982;-3.536348453;-0.030041093;-0.012719358;-0.000425957;-2.329201972
Story12;I2;SU07;Top;-11.38232265;2.0844228;0.007997489;-0.017354744;-0.014307215;0.138346305
Story12;I2;SU07;Bottom;-11.2096554;2.086707238;0.018164401;-0.00293153;0.014880396;0.741453445
Story12;I2;SU08 Max;Top;-8.200710581;6.005616454;0.03071875;-0.006298831;0.008036714;5.580048848
Story12;I2;SU08 Max;Bottom;-2.072893063;6.10698853;0.039299561;0.004731821;0.024049278;3.558501902
Story12;I2;SU08 Min;Top;-14.56393472;-1.836770853;-0.014723772;-0.028410657;-0.036651144;-5.303356239
