TABLE:  Pier Section Properties;;;;;;;;;;;;;;;
Story;Pier;Axis Angle;# Area Objects;# Line Objects;Width Bottom;Thickness Bottom;Width Top;Thickness Top;Material;CG Bottom X;CG Bottom Y;CG Bottom Z;CG Top X;CG Top Y;CG Top Z
;;deg;;;m;m;m;m;;m;m;m;m;m;m
Story12;1B;90;66;0;7.74;0.12;7.74;0.12;H210;41.42;6.79;26.18;41.42;6.79;28.56
Story12;I2;0;30;0;3.625;0.12;3.625;0.12;H210;33.9625;8.205;26.18;33.9625;8.205;28.56
Story12;5B;90;27;0;2.83;0.12;2.83;0.12;H210;35.835;6.79;26.18;35.835;6.79;28.56
Story12;I4;0;33;0;3.625;0.12;3.625;0.12;H210;33.9625;5.375;26.18;33.9625;5.375;28.56
Story12;7D;90;39;0;4.82;0.12;4.82;0.12;H210;31.065;2.965;26.18;31.065;2.965;28.56
Story12;7B;90;39;0;4.82;0.12;4.82;0.12;H210;31.065;10.615;26.18;31.065;10.615;28.56
Story12;J4;0;27;0;3.625;0.12;3.625;0.12;H210;28.1675;5.375;26.18;28.1675;5.375;28.56
Story12;J2;0;27;0;3.625;0.12;3.625;0.12;H210;28.1675;8.205;26.18;28.1675;8.205;28.56
Story12;8B;90;24;0;2.83;0.12;2.83;0.12;H210;26.295;6.79;26.18;26.295;6.79;28.56
Story12;10;90;66;0;7.74;0.12;7.74;0.12;H210;20.71;6.79;26.18;20.71;6.79;28.56
Story12;J1;0;30;0;3.625;0.12;3.625;0.12;H210;13.2525;8.205;26.18;13.2525;8.205;28.56
Story12;8A;90;27;0;2.83;0.12;2.83;0.12;H210;15.125;6.79;26.18;15.125;6.79;28.56
Story12;J3;0;33;0;3.625;0.12;3.625;0.12;H210;13.2525;5.375;26.18;13.2525;5.375;28.56
Story12;7C;90;39;0;4.82;0.12;4.82;0.12;H210;10.355;2.965;26.18;10.355;2.965;28.56
Story12;7A;90;42;0;4.82;0.12;4.82;0.12;H210;10.355;10.615;26.18;10.355;10.615;28.56
Story12;I1;0;27;0;3.625;0.12;3.625;0.12;H210;7.4575;8.205;26.18;7.4575;8.205;28.56
Story12;I3;0;27;0;3.625;0.12;3.625;0.12;H210;7.4575;5.375;26.18;7.4575;5.375;28.56
Story12;5A;90;24;0;2.83;0.12;2.83;0.12;H210;5.585;6.79;26.18;5.585;6.79;28.56
Story12;K1;0;42;0;5.585;0.12;5.585;0.12;H210;2.7925;6.79;26.18;2.7925;6.79;28.56
Story12;1A;90;66;0;7.74;0.12;7.74;0.12;H210;0;6.79;26.18;0;6.79;28.56
Story12;K2;0;42;0;5.585;0.12;5.585;0.12;H210;38.6275;6.79;26.18;38.6275;6.79;28.56
